2025-03-03 22:32:45.4665 | INFO | Request starting HTTP/2 GET https://localhost:7155/Swagger/index.html - - | 
2025-03-03 22:32:45.8096 | INFO | Request finished HTTP/2 GET https://localhost:7155/Swagger/index.html - - - 200 - text/html;charset=utf-8 346.0222ms | 
2025-03-03 22:32:45.8291 | INFO | Request starting HTTP/2 GET https://localhost:7155/_framework/aspnetcore-browser-refresh.js - - | 
2025-03-03 22:32:45.8291 | INFO | Request starting HTTP/2 GET https://localhost:7155/Swagger/index.js - - | 
2025-03-03 22:32:45.8291 | INFO | Request starting HTTP/2 GET https://localhost:7155/_vs/browserLink - - | 
2025-03-03 22:32:45.8291 | INFO | Request finished HTTP/2 GET https://localhost:7155/Swagger/index.js - - - 200 - application/javascript;charset=utf-8 3.0146ms | 
2025-03-03 22:32:45.8291 | INFO | Request finished HTTP/2 GET https://localhost:7155/_framework/aspnetcore-browser-refresh.js - - - 200 12348 application/javascript;+charset=utf-8 6.8908ms | 
2025-03-03 22:32:45.9114 | INFO | Request finished HTTP/2 GET https://localhost:7155/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 82.2082ms | 
2025-03-03 22:32:45.9765 | INFO | Request starting HTTP/2 GET https://localhost:7155/Swagger/v1/swagger.json - - | 
2025-03-03 22:32:45.9890 | INFO | Request finished HTTP/2 GET https://localhost:7155/Swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 12.4890ms | 
